community,risk_score,risk_level
Acton,0.355990720746254,2
Agoura Hills,0.21156234978946178,1
Agua Dulce,0,0
Alhambra,0.4424785383641784,2
Altadena,0.44445676368054654,2
Arcadia,0.28700513142053213,1
Artesia,0.4749516220031321,2
Atwater Village,0.41594182930905055,2
Azusa,0.7108886016118241,4
Baldwin Hills,0.5491742455850434,3
Baldwin Park,0.7641053202318157,4
Bassett,0.7438124899891048,4
Bel Air Estates,0,0
Bell,0.7657454833564753,4
Beverly Hills,0.374669217204474,2
Boyle Heights,0.8202847834604894,4
Bradbury,0.5050646266847356,2
Brentwood,0.23691788570216094,1
Burbank,0.3871857716146275,2
Canoga Park,0.6168259103456175,3
Carson,0.5936220384658879,3
Castaic,0.9053169836944429,4
Central,0.7051212671883684,4
Century City,0.20236044589673544,1
Cerritos,0.34231958059350537,1
Chatsworth,0.507995178043987,2
Chinatown,0.32657234556106535,1
Claremont,0.3341948030281423,1
Commerce,0.8024456078998612,4
Compton,0.7978857466394967,4
Covina,0.731214115835909,4
Cudahy,0.8135387234817301,4
Culver City,0.3002770961311823,1
Del Sur,0,0
Diamond Bar,0.3352573494625972,1
Downey,0.7287544574210579,4
Downtown,0.4486814702470034,2
Downtown Bunker Hill,0,0
Downtown Historic Core,0,0
Duarte,0.5852854339774364,3
Eagle Rock,0.45188378801241785,2
East Hollywood,0.5446031090862572,3
East Los Angeles,0.8159994505617162,4
Echo Park,0.41664081499801764,2
El Monte,0.7605643750089777,4
El Segundo,0.3470434819530886,1
El Sereno,0.7156811038841449,4
Encino,0.2929733292071784,1
Florence-Firestone,0.8445639050089072,4
Gardena,0.5926848996945747,3
Glassell Park,0.5334908761319407,3
Glendale,0.4624283727493761,2
Glendora,0.6667075851951174,3
Granada Hills,0.566248544881836,3
Hacienda Heights,0.5806858619001866,3
Hancock Park,0.37155082279805957,2
Harbor City,0.5538638572588449,3
Harbor Gateway,0.7016896699669414,4
Hawaiian Gardens,0.6999411284919463,4
Hawthorne,0.6505821276026831,3
Hermosa Beach,0.37494693536996804,2
Hi Vista,0,0
Hidden Hills,0.18973267560816653,1
Highland Park,0.6223998103130126,3
Hollywood,0.43707558405546404,2
Huntington Park,0.7866329159772052,4
Hyde Park,0.6788798626284698,3
Inglewood,0.6633522575210726,3
Jefferson Park,0.7340437862560029,4
Koreatown,0.6221405763330276,3
La Habra Heights,0.4746125513468839,2
La Mirada,0.5597560678096936,3
La Puente,0.7491066383595617,4
La Verne,0.4755991967534505,2
Ladera Heights,0,0
Lake Balboa,0.5768951536860821,3
Lake Hughes,0,0
Lake Los Angeles,0.6110292874273887,3
Lakewood,0.4213625003292355,2
Lancaster,0.5863399745285603,3
Lawndale,0.5592056675077468,3
Lennox,0,0
Leona Valley,0,0
Lincoln Heights,0.7085152072040964,4
Llano,0,0
Lomita,0.32713265702508326,1
Los Feliz,0.3004160301613411,1
Lynwood,0.8080444939052372,4
Malibu,0.28002877967748296,1
Manhattan Beach,0.3068883094853428,1
Mar Vista,0.23953909872747237,1
Marina del Rey,0,0
Marina Peninsula,0.2337080666551721,1
Maywood,0.7496376906515935,4
Melrose,0.5229125208367379,3
Mid-City,0,0
missing,0,0
Mission Hills,0.6724408241393139,3
Monrovia,0.5956291794545405,3
Montebello,0.7226251469400697,4
Monterey Park,0.4736308441333532,2
North Hills,0.7586568199671326,4
North Hollywood,0.5923023851484391,3
Northridge,0.536682360587333,3
Norwalk,0.7310555583788795,4
Pacific Palisades,0.22804143528743587,1
Pacoima,0.7690416732744392,4
Palmdale,0.6717753750038357,3
Palms,0.39091225577114536,2
Panorama City,0.7486713754262423,4
Paramount,0.7624764098361139,4
Pasadena,0.5336154869758181,3
Pico Rivera,0.7584674649262756,4
Playa Vista,0.3855132790659952,2
Pomona,0.744191842194431,4
Porter Ranch,0.30385511308118607,1
Rancho Palos Verdes,0.28254432187212863,1
Rancho Park,0.3006163746515591,1
Redondo Beach,0.31851450091422234,1
Reseda,0.6218166614514296,3
Rosemead,0.49091664615351355,2
Rosewood,0,0
Rowland Heights,0.42331398151006283,2
San Dimas,0.4567370918199947,2
San Fernando,0.5726505573415928,3
San Gabriel,0.41125186730881785,2
San Marino,0.2456544966601579,1
San Pedro,0.6249247325876223,3
Santa Catalina Island,0,0
Santa Clarita,0.4561026125728585,2
Santa Fe Springs,0.6894286704547706,4
Santa Monica,0.23895367070416326,1
Shadow Hills,0.46757987931271283,2
Sherman Oaks,0.29959226314297793,1
Sierra Madre,0.2616896648689824,1
Signal Hill,0.6173613881089108,3
South Gate,0.7880139610843111,4
South Los Angeles,0,0
South Park,0.7085280805858355,4
South Pasadena,0.28060971875887336,1
Stevenson Ranch,0.402188708221723,2
Studio City,0.2867874787081309,1
Sun Valley,0.7283683529021072,4
Sun Village,0,0
Sylmar,0.7552374892524877,4
