community,risk_score,risk_level
Acton,0.28802345059165574,1
Agoura Hills,0.18464672569451773,1
Agua Dulce,0,0
Alhambra,0.4068741839841297,2
Altadena,0.3971785369853482,2
Arcadia,0.24819615968825756,1
Artesia,0.4871312332385697,2
Atwater Village,0.39453029284345226,2
Azusa,0.6625476600881945,3
Baldwin Hills,0.5338367270559754,3
Baldwin Park,0.6856305642533859,3
Bassett,0.6842786424389794,3
Bel Air Estates,0,0
Bell,0.751455956126416,4
Beverly Hills,0.29743978139421523,1
Boyle Heights,0.7830588498340589,4
Bradbury,0.46851786135331397,2
Brentwood,0.21324450038013426,1
Burbank,0.34347329183419767,1
Canoga Park,0.5813287146469496,3
Carson,0.5304382875420961,3
Castaic,0.8431071534120113,4
Central,0.6393601196436816,3
Century City,0.16142473769184704,1
Cerritos,0.3159223585145465,1
Chatsworth,0.41569636581310465,2
Chinatown,0.29896513483768067,1
Claremont,0.316691989554787,1
Commerce,0.720865243349001,4
Compton,0.7527382398081395,4
Covina,0.67824897199326,3
Cudahy,0.7833521768997496,4
Culver City,0.28138513137174415,1
Del Sur,0,0
Diamond Bar,0.28445261478416745,1
Downey,0.6819531591623955,3
Downtown,0.3621920346401375,2
Downtown Bunker Hill,0,0
Downtown Historic Core,0,0
Duarte,0.5272533899179848,3
Eagle Rock,0.4335405258420917,2
East Hollywood,0.5307446928290548,3
East Los Angeles,0.796502400324875,4
Echo Park,0.405936272927508,2
El Monte,0.6906246533617224,4
El Segundo,0.2996758680183867,1
El Sereno,0.6746361399756593,3
Encino,0.22699710867177883,1
Florence-Firestone,0.79949575925775,4
Gardena,0.5308785805760571,3
Glassell Park,0.5010492313209923,2
Glendale,0.4129403552020175,2
Glendora,0.616314938425018,3
Granada Hills,0.5392734770360899,3
Hacienda Heights,0.5089179904501011,2
Hancock Park,0.3513670882582968,1
Harbor City,0.5196114692925742,3
Harbor Gateway,0.6080109562568996,3
Hawaiian Gardens,0.7317726732342065,4
Hawthorne,0.5998744403638158,3
Hermosa Beach,0.38019660299254365,2
Hi Vista,0,0
Hidden Hills,0.16316834539011243,1
Highland Park,0.5846490512872013,3
Hollywood,0.4077758005138186,2
Huntington Park,0.740208556822279,4
Hyde Park,0.6913995213506707,4
Inglewood,0.618695027711337,3
Jefferson Park,0.7117561937379477,4
Koreatown,0.5937490137499636,3
La Habra Heights,0.46571156629164756,2
La Mirada,0.5136303549359402,2
La Puente,0.6943527830146682,4
La Verne,0.41915656181017374,2
Ladera Heights,0,0
Lake Balboa,0.5054162278615417,2
Lake Hughes,0,0
Lake Los Angeles,0.5409579801511409,3
Lakewood,0.39259169107242214,2
Lancaster,0.5055488737870966,2
Lawndale,0.5416507892868088,3
Lennox,0,0
Leona Valley,0,0
Lincoln Heights,0.6757389959358173,3
Llano,0,0
Lomita,0.31805325473846646,1
Los Feliz,0.28738393157311987,1
Lynwood,0.8036508721246162,4
Malibu,0.2928704178463034,1
Manhattan Beach,0.3049379002966039,1
Mar Vista,0.23593922729517885,1
Marina del Rey,0,0
Marina Peninsula,0.25632175084271314,1
Maywood,0.7659944792830213,4
