community,risk_score,risk_level
Acton,0.32123626056553395,1
Agoura Hills,0.160994547633761,1
Agua Dulce,0,0
Alhambra,0.37426832721877973,2
Altadena,0.36354399310635327,2
Arcadia,0.22991868081898698,1
Artesia,0.45281253350592665,2
Atwater Village,0.3980864501905108,2
Azusa,0.618138341831935,3
Baldwin Hills,0.4790234386694615,2
Baldwin Park,0.6337573264941778,3
Bassett,0.630039732047055,3
Bel Air Estates,0,0
Bell,0.7160232260707404,4
Beverly Hills,0.27676917291937436,1
Boyle Heights,0.7607652358670232,4
Bradbury,0.06716078433240527,1
Brentwood,0.22358802918162535,1
Burbank,0.3188079634909514,1
Canoga Park,0.514541852905423,3
Carson,0.5227869845866486,3
Castaic,0.8473204157263761,4
Central,0.5552415236093395,3
Century City,0.14905242841949298,1
Cerritos,0.30778967037982063,1
Chatsworth,0.39611748203145936,2
Chinatown,0.28686716842227333,1
Claremont,0.3066291464930304,1
Commerce,0.6687870637113789,3
Compton,0.7436116926361596,4
Covina,0.6333466170391494,3
Cudahy,0.7588060988005734,4
Culver City,0.2734393795491901,1
Del Sur,0,0
Diamond Bar,0.27296541833104077,1
Downey,0.648781420819532,3
Downtown,0.30624539988306054,1
Downtown Bunker Hill,0,0
Downtown Historic Core,0,0
Duarte,0.4784602911431058,2
Eagle Rock,0.39898911961638317,2
East Hollywood,0.5334127660521412,3
East Los Angeles,0.7647194181798546,4
Echo Park,0.4099441256749495,2
El Monte,0.6157093656431764,3
El Segundo,0.2861304846183319,1
El Sereno,0.6642346926683881,3
Encino,0.2171457052289354,1
Florence-Firestone,0.7925829140088992,4
Gardena,0.4821948149739513,2
Glassell Park,0.48603095024145804,2
Glendale,0.3959288089148823,2
Glendora,0.5842254044280168,3
Granada Hills,0.4937019114389279,2
Hacienda Heights,0.472250489522389,2
Hancock Park,0.33641891879128966,1
Harbor City,0.49098242674049036,2
Harbor Gateway,0.5889850882542843,3
Hawaiian Gardens,0.7165222591485138,4
Hawthorne,0.5956748184182071,3
Hermosa Beach,0.379899344510072,2
Hi Vista,0,0
Hidden Hills,0.13969474566845677,1
Highland Park,0.5737217576637592,3
Hollywood,0.40413585556203185,2
Huntington Park,0.7202038889753049,4
Hyde Park,0.6690431371457727,3
Inglewood,0.5883669041891947,3
Jefferson Park,0.7018930095793516,4
Koreatown,0.5805164864807689,3
La Habra Heights,0.42515150647410355,2
La Mirada,0.48469958837617627,2
La Puente,0.6788459619750127,3
La Verne,0.4109608845702855,2
Ladera Heights,0,0
Lake Balboa,0.4830937312104981,2
Lake Hughes,0,0
Lake Los Angeles,0.6057709116804367,3
Lakewood,0.3818138678894193,2
Lancaster,0.46206823067287306,2
Lawndale,0.5138534390685432,2
Lennox,0,0
Leona Valley,0,0
Lincoln Heights,0.6610448757240763,3
Llano,0,0
Lomita,0.3160398943411485,1
Los Feliz,0.28559054548313767,1
Lynwood,0.7493536370500671,4
Malibu,0.292133222143249,1
Manhattan Beach,0.2948464191834144,1
Mar Vista,0.23824548529047454,1
Marina del Rey,0,0
Marina Peninsula,0.2512488604759363,1
Maywood,0.7426175761842686,4
Melrose,0.4833183142497999,2
Mid-City,0,0
missing,0,0
Mission Hills,0.5731355030614569,3
Monrovia,0.5233701273125833,3
Montebello,0.6157641758932285,3
Monterey Park,0.41674316347848583,2
North Hills,0.6541268944582915,3
North Hollywood,0.5263159433746077,3
Northridge,0.47476639013365984,2
Norwalk,0.6624310448200857,3
Pacific Palisades,0.216624841506651,1
Pacoima,0.7218679507112044,4
Palmdale,0.5814114254078968,3
Palms,0.3664036954240388,2
Panorama City,0.6569346433848148,3
Paramount,0.6646824400937701,3
Pasadena,0.4394475287165985,2
Pico Rivera,0.7104623314551055,4
Playa Vista,0.38974875432191225,2
Pomona,0.646891013463794,3
Porter Ranch,0.26938581804247325,1
Rancho Palos Verdes,0.27245897560480153,1
Rancho Park,0.23990981267616107,1
Redondo Beach,0.30446457152204126,1
Reseda,0.5480507189254588,3
Rosemead,0.45726048438681877,2
Rosewood,0,0
Rowland Heights,0.3554802182017315,2
San Dimas,0.40399816541712624,2
San Fernando,0.49275254375958955,2
San Gabriel,0.37155099508239625,2
San Marino,0.16384143595347936,1
San Pedro,0.5297430837339152,3
Santa Catalina Island,0,0
Santa Clarita,0.39593756973015887,2
Santa Fe Springs,0.44953236202595115,2
Santa Monica,0.22264629749297749,1
Shadow Hills,0.43553526899800654,2
Sherman Oaks,0.2612331860185292,1
Sierra Madre,0.2346965711647511,1
Signal Hill,0.46242659753322946,2
South Gate,0.7557648818459252,4
South Los Angeles,0,0
South Park,0.6255090606580753,3
South Pasadena,0.20957027136949657,1
Stevenson Ranch,0.4071126635544924,2
Studio City,0.2766979709170562,1
Sun Valley,0.5616043962307895,3
Sun Village,0,0
Sylmar,0.717819616437052,4
Tarzana,0.37136280138905164,2
Temple City,0.41895995113756074,2
Toluca Lake,0.25909899053891405,1
Toluca Terrace,0.3668808165358688,2
Torrance,0.27819823096397733,1
Tujunga,0.45950420722456553,2
University Park,0.6565128566054722,3
Valencia,0,0
Valley Glen,0.5181692868289935,3
Valley Village,0.4415644135250421,2
Van Nuys,0.5908524720570267,3
Venice,0.2970394973357774,1
Vernon,0.41152274873548,2
Walnut,0.24424602701748108,1
Watts,0.8197253769389539,4
West Adams,0.6246822942072071,3
West Hills,0.3699158713432427,2
West Hollywood,0.3164988867554039,1
Westchester,0.233852681407437,1
Westlake,0.654637347391535,3
Westlake Village,0.19453858399783688,1
Westwood,0.1743083863769964,1
Whittier,0.5695738557389453,3
Willowbrook,0.7727976889630221,4
Wilmington,0.6891979646733097,4
Wilshire Center,0.36786877770273446,2
Winnetka,0.5814999473377308,3
Woodland Hills,0.27868620116700193,1
