Unnamed: 0,geo_merge,cases_final,case_rate_final,adj_case_rate_final,deaths_final,death_rate_final,adj_death_rate_final,population
304,South Whittier,1154,1949,1889,18,30,34,59222
305,Southeast Antelope Valley,11,1408,1538,0,0,0,781
306,Stevenson Ranch,111,529,525,2,10,12,20966
307,Sun Village,94,1557,1584,1,17,11,6036
308,Sunrise Village,38,2932,3167,0,0,0,1296
309,Twin Lakes/Oat Mountain,9,543,562,1,60,78,1658
310,Val Verde,44,1330,1213,1,30,50,3309
311,Valencia,34,1107,1910,1,33,258,3072
312,Valinda,535,2289,2255,3,13,12,23371
313,View Park/Windsor Hills,103,885,932,2,17,7,11635
314,Walnut Park,520,3221,3167,8,50,56,16143
315,West Antelope Valley,3,199,248,0,0,0,1511
316,West Carson,272,1232,1104,20,91,54,22086
317,West LA,35,3676,3561,2,210,67,952
318,West Puente Valley,272,2766,2711,0,0,0,9835
319,West Rancho Dominguez,18,1324,1277,3,221,184,1359
320,West Whittier/Los Nietos,664,2466,2411,8,30,29,26925
321,Westfield/Academy Hills,4,308,402,0,0,0,1300
322,Westhills,8,954,1424,0,0,0,839
323,White Fence Farms,35,950,956,0,0,0,3683
324,Whittier,51,1348,1284,0,0,0,3784
325,Willowbrook,1052,3013,3051,17,49,56,34913
326,Wiseburn,94,1560,1456,0,0,0,6027
327,East Lancaster,0,0,0,0,0,0,114
328,Harbor Gateway,0,0,0,0,0,0,1
329,La Habra Heights,0,0,0,0,0,0,676
330,Placerita Canyon,0,0,0,0,0,0,460
331,Whittier Narrows,0,0,0,0,0,0,12
