community,risk_score,risk_level
Acton,0.34903760021183217,2
Agoura Hills,0.2228988085848371,1
Agua Dulce,0,0
Alhambra,0.439710902327241,2
Altadena,0.41032965913422986,2
Arcadia,0.28354573211178424,1
Artesia,0.5515038302369517,3
Atwater Village,0.42277869076008107,2
Azusa,0.7206574721517653,4
Baldwin Hills,0.5474456268550144,3
Baldwin Park,0.7865205105894457,4
Bassett,0.7659501366725928,4
Bel Air Estates,0,0
Bell,0.7910987008299264,4
Beverly Hills,0.3670616107273546,2
Boyle Heights,0.8242293881401752,4
Bradbury,0.057811945419410815,1
Brentwood,0.2607754980341905,1
Burbank,0.401150425920988,2
Canoga Park,0.6387811281264574,3
Carson,0.5859876867424093,3
Castaic,0.9139867689395433,4
Central,0.721614601819353,4
Century City,0.1805056513574393,1
Cerritos,0.34082158904983184,2
Chatsworth,0.49360579607416616,2
Chinatown,0.3258001066112672,1
Claremont,0.34190808888913066,2
Commerce,0.8076358060288905,4
Compton,0.7903081003273258,4
Covina,0.7176322833913614,4
Cudahy,0.8230541984451254,4
Culver City,0.29900312178455296,1
Del Sur,0,0
Diamond Bar,0.3212875615660424,1
Downey,0.7365321519000531,4
Downtown,0.4681680687501773,2
Downtown Bunker Hill,0,0
Downtown Historic Core,0,0
Duarte,0.6278099948020052,3
Eagle Rock,0.4338823285510559,2
East Hollywood,0.5455674922885508,3
East Los Angeles,0.8234843459849865,4
Echo Park,0.41479594123193525,2
El Monte,0.7550456216004684,4
El Segundo,0.34904168957483217,2
El Sereno,0.7019070361192583,4
Encino,0.2916934721791143,1
Florence-Firestone,0.8539646863099507,4
Gardena,0.594810690013277,3
Glassell Park,0.5437029349099981,3
Glendale,0.4928027942444759,2
Glendora,0.6527025883796576,3
Granada Hills,0.5382258853302467,3
Hacienda Heights,0.5714364079187094,3
Hancock Park,0.3665189612193473,2
Harbor City,0.5407114749590138,3
Harbor Gateway,0.7093833305084248,4
Hawaiian Gardens,0.7652243701872741,4
Hawthorne,0.6433153152527363,3
Hermosa Beach,0.386132684148859,2
Hi Vista,0,0
Hidden Hills,0.16373424285346225,1
Highland Park,0.5996370421924218,3
Hollywood,0.43240539316568877,2
Huntington Park,0.7959158388120551,4
Hyde Park,0.675045642344961,3
Inglewood,0.6551099270106895,3
Jefferson Park,0.7288681687995425,4
Koreatown,0.6227134847708062,3
La Habra Heights,0.4981540125446798,2
La Mirada,0.5607917608054566,3
La Puente,0.7515666523677572,4
La Verne,0.490027337368049,2
Ladera Heights,0,0
Lake Balboa,0.6234992451505083,3
Lake Hughes,0,0
Lake Los Angeles,0.5877542306967614,3
Lakewood,0.4219641604952518,2
Lancaster,0.6243184073118837,3
Lawndale,0.5891666534596246,3
Lennox,0,0
Leona Valley,0,0
Lincoln Heights,0.7116895381834724,4
Llano,0,0
Lomita,0.33268613756003823,1
Los Feliz,0.2996082321263945,1
Lynwood,0.8277108903378276,4
Malibu,0.2802843952711712,1
Manhattan Beach,0.3022273516812964,1
Mar Vista,0.25225124098308055,1
Marina del Rey,0,0
Marina Peninsula,0.24546126012324823,1
Maywood,0.7915489460082669,4
Melrose,0.5281708716620674,3
Mid-City,0,0
missing,0,0
Mission Hills,0.6621954219551259,3
Monrovia,0.5898656723535195,3
Montebello,0.7168807905693758,4
Monterey Park,0.46816534881886657,2
North Hills,0.7542845491226057,4
North Hollywood,0.6435765851008197,3
Northridge,0.5435837810145201,3
Norwalk,0.7378734757549829,4
Pacific Palisades,0.23203318943154097,1
Pacoima,0.790076739251212,4
Palmdale,0.6713701304554633,3
Palms,0.3680775657166156,2
Panorama City,0.732643466058779,4
Paramount,0.7943171510825413,4
Pasadena,0.5411929526339379,3
Pico Rivera,0.7693357730912909,4
Playa Vista,0.3327260654030655,1
Pomona,0.755701571424917,4
Porter Ranch,0.3354094830172956,1
Rancho Palos Verdes,0.2939987381140707,1
Rancho Park,0.3263658765331072,1
Redondo Beach,0.30697652930411906,1
Reseda,0.6235327137727746,3
Rosemead,0.49214198376520824,2
Rosewood,0,0
Rowland Heights,0.42728114681439944,2
San Dimas,0.4471991165419798,2
San Fernando,0.6061843208102224,3
San Gabriel,0.450924379551521,2
San Marino,0.2624754864175931,1
San Pedro,0.6485546561764667,3
Santa Catalina Island,0,0
Santa Clarita,0.4644824469081516,2
Santa Fe Springs,0.7037188514575332,4
Santa Monica,0.24919636206682244,1
Shadow Hills,0.4760967775766451,2
Sherman Oaks,0.30635346553930953,1
Sierra Madre,0.25343055120251234,1
Signal Hill,0.6197407823215181,3
South Gate,0.7957756769911036,4
South Los Angeles,0,0
South Park,0.728831270826291,4
South Pasadena,0.25897225498666915,1
Stevenson Ranch,0.38996271069638383,2
Studio City,0.30804619011803314,1
Sun Valley,0.7293423778918965,4
Sun Village,0,0
Sylmar,0.7637724922350085,4
Tarzana,0.4832182625292639,2
Temple City,0.44823086481297075,2
Toluca Lake,0.3077702550436904,1
Toluca Terrace,0.46114147359131297,2
Torrance,0.3220726717537793,1
Tujunga,0.555700082618192,3
University Park,0.800084298138294,4
Valencia,0,0
Valley Glen,0.5814834676092574,3
Valley Village,0.5215089221109719,2
Van Nuys,0.6931837079377773,4
Venice,0.29069443459223376,1
Vernon,0.639922932857109,3
Walnut,0.31484527231004733,1
Watts,0.8856204737807524,4
West Adams,0.7208092277029777,4
West Hills,0.4030563431250917,2
West Hollywood,0.3535839854169284,2
Westchester,0.2506331625803642,1
Westlake,0.7454179178474245,4
Westlake Village,0.29938167302714475,1
Westwood,0.21426386288545335,1
Whittier,0.6551171004912157,3
Willowbrook,0.7991069512653427,4
Wilmington,0.7690483981662217,4
Wilshire Center,0.4991184113087335,2
Winnetka,0.6196101428359779,3
Woodland Hills,0.3192883367633876,1
