community,risk_score,risk_level
Acton,0.31369848088881064,1
Agoura Hills,0.18756262817227337,1
Agua Dulce,0,0
Alhambra,0.4107556945023673,2
Altadena,0.45599365009637427,2
Arcadia,0.25668612055163587,1
Artesia,0.5345814912323137,3
Atwater Village,0.4041373562998877,2
Azusa,0.6696218238499229,3
Baldwin Hills,0.5425743116715321,3
Baldwin Park,0.7262285165953934,4
Bassett,0.7230806444453011,4
Bel Air Estates,0,0
Bell,0.7748887740325886,4
Beverly Hills,0.3117872103786073,1
Boyle Heights,0.8075245252366662,4
Bradbury,0.058224370139587374,1
Brentwood,0.22119990722424301,1
Burbank,0.34828133861020366,2
Canoga Park,0.5928165276175398,3
Carson,0.5749089284547853,3
Castaic,0.9148676718860463,4
Central,0.7113637040126258,4
Century City,0.14789727368358999,1
Cerritos,0.31817803232093983,1
Chatsworth,0.41560217203303673,2
Chinatown,0.31700247092620853,1
Claremont,0.30615279820940466,1
Commerce,0.7502955903820401,4
Compton,0.7640395574056769,4
Covina,0.6935643649543236,4
Cudahy,0.8126962116545807,4
Culver City,0.2788313330823242,1
Del Sur,0,0
Diamond Bar,0.2868741702475726,1
Downey,0.6974437977835779,4
Downtown,0.3812443773351844,2
Downtown Bunker Hill,0,0
Downtown Historic Core,0,0
Duarte,0.5799182141742159,3
Eagle Rock,0.4298104769934551,2
East Hollywood,0.5292542377719152,3
East Los Angeles,0.8109988655583926,4
Echo Park,0.39536116221118967,2
El Monte,0.7018464851485826,4
El Segundo,0.298990819693632,1
El Sereno,0.6697273890777325,3
Encino,0.2214433782737146,1
Florence-Firestone,0.8261079393330835,4
Gardena,0.5393421607181634,3
Glassell Park,0.5399718018393062,3
Glendale,0.4300631438686555,2
Glendora,0.625299060547446,3
Granada Hills,0.5088257296663838,2
Hacienda Heights,0.5359764583088599,3
Hancock Park,0.34846358300095903,2
Harbor City,0.5659128886403361,3
Harbor Gateway,0.6603313907630791,3
Hawaiian Gardens,0.7430736053528936,4
Hawthorne,0.6372163258570049,3
Hermosa Beach,0.3813684360727382,2
Hi Vista,0,0
Hidden Hills,0.13929030243825524,1
Highland Park,0.5898523114513038,3
Hollywood,0.4143751137860823,2
Huntington Park,0.7839998475164666,4
Hyde Park,0.7069339638070472,4
Inglewood,0.6265063463974241,3
Jefferson Park,0.7263527439444705,4
Koreatown,0.6075536133663656,3
La Habra Heights,0.49446926215070136,2
La Mirada,0.5235845675028453,3
La Puente,0.7159697068852809,4
La Verne,0.45054592082983386,2
Ladera Heights,0,0
Lake Balboa,0.5482148011706636,3
Lake Hughes,0,0
Lake Los Angeles,0.6274875177050395,3
Lakewood,0.4148200811043702,2
Lancaster,0.549707125235833,3
Lawndale,0.5599831294971496,3
Lennox,0,0
Leona Valley,0,0
Lincoln Heights,0.6681985360026721,3
Llano,0,0
Lomita,0.3471900464923715,2
Los Feliz,0.29512396312544514,1
