community,risk_score,risk_level
Acton,0.28248310554751876,1
Agoura Hills,0.21487124214389217,1
Agua Dulce,0,0
Alhambra,0.4371140454183949,2
Altadena,0.40615944513147445,2
Arcadia,0.28220174922114805,1
Artesia,0.5579713114701936,3
Atwater Village,0.38624173498849057,2
Azusa,0.7342274437473364,4
Baldwin Hills,0.522379794061655,3
Baldwin Park,0.7963388187259643,4
Bassett,0,0
Bel Air Estates,0,0
Bell,0.7640431336226068,4
Beverly Hills,0.37180167727582775,2
Boyle Heights,0.8256174398579467,4
Bradbury,0.3942504874498992,2
Brentwood,0.2482278021176854,1
Burbank,0.40880379100973063,2
Canoga Park,0.6085034874220371,3
Carson,0.5201515694405181,3
Castaic,0.9224613238097881,4
Central,0.7199441500495459,4
Century City,0.1880811317310475,1
Cerritos,0.3288773449772557,2
Chatsworth,0.51717022476366,3
Chinatown,0.30189225699894107,1
Claremont,0.34739102166039904,2
Commerce,0.78884089791806,4
Compton,0.7962115678208488,4
Covina,0.6715928358766828,3
Cudahy,0.8012205719488587,4
Culver City,0.25923570179166955,1
Del Sur,0,0
Diamond Bar,0.31902660818203404,1
Downey,0.7434305998078184,4
Downtown,0.4716568366870143,2
Downtown Bunker Hill,0,0
Downtown Historic Core,0,0
Duarte,0.6028934552701194,3
Eagle Rock,0.43648023698191724,2
East Hollywood,0.5319240135265497,3
East Los Angeles,0.8182510620243955,4
Echo Park,0.4206030073478024,2
El Monte,0.7404329519091516,4
El Segundo,0.27032438645212986,1
El Sereno,0.7137085229375602,4
Encino,0.3007536623198345,1
Florence-Firestone,0.8191897611558553,4
Gardena,0.5786960410266939,3
Glassell Park,0.5563541646974118,3
Glendale,0.4976095986351548,2
Glendora,0.640449584314986,3
Granada Hills,0.5660289021337703,3
Hacienda Heights,0.5731100218801407,3
Hancock Park,0.34306804537985,2
Harbor City,0.5557175508727735,3
Harbor Gateway,0.7067883054432538,4
Hawaiian Gardens,0.7210529208279245,4
Hawthorne,0.5652984299544743,3
Hermosa Beach,0.3658761389555041,2
Hi Vista,0,0
Hidden Hills,0.16584695879326944,1
Highland Park,0.5829087560865258,3
Hollywood,0.43605839382501893,2
Huntington Park,0.7534492154522355,4
Hyde Park,0.6713121158708714,3
Inglewood,0.6454393578350076,3
Jefferson Park,0.741506572208983,4
Koreatown,0.6145745893598851,3
La Habra Heights,0.48969405204984595,2
La Mirada,0.5413556411614995,3
La Puente,0.7758416569956331,4
La Verne,0.49744065651060465,2
Ladera Heights,0,0
Lake Balboa,0.6120331481430438,3
Lake Hughes,0,0
Lake Los Angeles,0.4117338026080847,2
Lakewood,0.4039142711462016,2
Lancaster,0.6371567243445945,3
Lawndale,0.5718733767679316,3
Lennox,0,0
Leona Valley,0,0
Lincoln Heights,0.7220092151673696,4
Llano,0,0
Lomita,0.3121686489218286,1
Los Feliz,0.305857969704236,1
Lynwood,0.8041300087998806,4
Malibu,0.2560890833819975,1
Manhattan Beach,0.28435574635957533,1
Mar Vista,0.24525600842454268,1
Marina del Rey,0,0
Marina Peninsula,0.22793259376248196,1
Maywood,0.7655351168281226,4
Melrose,0.5139111307559986,2
Mid-City,0,0
missing,0,0
Mission Hills,0.7235091830527223,4
Monrovia,0.5773047526973772,3
Montebello,0.7116123466302651,4
Monterey Park,0.4339554517072983,2
North Hills,0.7165768310984783,4
North Hollywood,0.6375718939424371,3
Northridge,0.5483179219668393,3
Norwalk,0.7257113016851208,4
Pacific Palisades,0.21598935254342858,1
Pacoima,0.7883236150554986,4
Palmdale,0.6691396320007625,3
Palms,0.35239744840878856,2
Panorama City,0.7569108002454837,4
Paramount,0.7771651001482683,4
Pasadena,0.4817463862332698,2
Pico Rivera,0.769387689856103,4
Playa Vista,0.26456038015474115,1
Pomona,0.7507402288877026,4
Porter Ranch,0.33877622685538306,2
Rancho Palos Verdes,0.276864762306535,1
Rancho Park,0.2938446805692484,1
Redondo Beach,0.29513824332239497,1
Reseda,0.6260432316746375,3
Rosemead,0.4725103088805916,2
Rosewood,0,0
Rowland Heights,0.4102506549546032,2
San Dimas,0.4704912052492251,2
San Fernando,0.6210266707060877,3
San Gabriel,0.42093547263722375,2
San Marino,0.22429699819339396,1
San Pedro,0.6292124988929917,3
Santa Catalina Island,0,0
Santa Clarita,0.48835113014693604,2
Santa Fe Springs,0.7049336395707501,4
Santa Monica,0.24308567174463414,1
Shadow Hills,0.4485271123599694,2
Sherman Oaks,0.30000652967366,1
Sierra Madre,0.2617072540215627,1
Signal Hill,0.622100628434926,3
South Gate,0.7967586928740965,4
South Los Angeles,0,0
South Park,0.7233694833003913,4
South Pasadena,0.25240103990165436,1
Stevenson Ranch,0.3135586517013225,1
Studio City,0.2944022926750931,1
Sun Valley,0.7292454359229089,4
Sun Village,0,0
Sylmar,0.7516452616464582,4
Tarzana,0.4898258987011443,2
Temple City,0.422665987122922,2
Toluca Lake,0.30362761246215875,1
Toluca Terrace,0.4552477037702198,2
Torrance,0.32829554800640537,2
Tujunga,0.5815161515390664,3
