community,risk_score,risk_level
Acton,0.25473113974806766,1
Agoura Hills,0.188184301053329,1
Agua Dulce,0,0
Alhambra,0.4120340453379077,2
Altadena,0.38513024164416854,2
Arcadia,0.2555114405630407,1
Artesia,0.5036802208219612,2
Atwater Village,0.39651386658669857,2
Azusa,0.6831957816730283,3
Baldwin Hills,0.5053782660590044,2
Baldwin Park,0.7710798535249451,4
Bassett,0,0
Bel Air Estates,0,0
Bell,0.7507311864973731,4
Beverly Hills,0.33947856545965793,2
Boyle Heights,0.8060017169860678,4
Bradbury,0.052963798908040906,1
Brentwood,0.23884419017837252,1
Burbank,0.38405804350135353,2
Canoga Park,0.6056002167486453,3
Carson,0.5146312908823715,2
Castaic,0.8456007179738343,4
Central,0.7205079906046673,4
Century City,0.1589159598963025,1
Cerritos,0.3221546116922048,1
Chatsworth,0.46218649791523997,2
Chinatown,0.2820260829952282,1
Claremont,0.3047620248497851,1
Commerce,0.7723203254548459,4
Compton,0.7783890141603171,4
Covina,0.6505879782880514,3
Cudahy,0.7868957474981018,4
Culver City,0.2375178232353513,1
Del Sur,0,0
Diamond Bar,0.3016632042356634,1
Downey,0.731713158145824,4
Downtown,0.4227551779535121,2
Downtown Bunker Hill,0,0
Downtown Historic Core,0,0
Duarte,0.5307243420591304,3
Eagle Rock,0.4103864795757535,2
East Hollywood,0.5355870225831263,3
East Los Angeles,0.7882865155925466,4
Echo Park,0.4135650224389764,2
El Monte,0.7217210295118968,4
El Segundo,0.25208495712755813,1
El Sereno,0.7011205507882976,4
Encino,0.2745503905175323,1
Florence-Firestone,0.8006398702875333,4
Gardena,0.5543292400094967,3
Glassell Park,0.5323812370016089,3
Glendale,0.4707559413211465,2
Glendora,0.6028056247772646,3
Granada Hills,0.5394473506417391,3
Hacienda Heights,0.5504975497032031,3
Hancock Park,0.33659356271349755,2
Harbor City,0.5404919235686149,3
Harbor Gateway,0.6760677959783143,3
Hawaiian Gardens,0.6995370853627798,4
Hawthorne,0.5399779806698533,3
Hermosa Beach,0.34341657594696046,2
Hi Vista,0,0
Hidden Hills,0.15263624556814312,1
Highland Park,0.5772894676882683,3
Hollywood,0.41502853807647205,2
Huntington Park,0.7567663560289806,4
Hyde Park,0.6491962275384431,3
Inglewood,0.6320310904785945,3
Jefferson Park,0.694702738357547,4
Koreatown,0.5954198896545595,3
La Habra Heights,0.4921823607965974,2
La Mirada,0.5199754704395115,3
La Puente,0.7303244163890455,4
La Verne,0.47287249343953625,2
Ladera Heights,0,0
Lake Balboa,0.5878376828498425,3
Lake Hughes,0,0
Lake Los Angeles,0.402669933857597,2
Lakewood,0.3873057936173671,2
Lancaster,0.5878839669282937,3
Lawndale,0.5337568933880393,3
Lennox,0,0
Leona Valley,0,0
Lincoln Heights,0.7248897560626171,4
Llano,0,0
Lomita,0.299658976438958,1
Los Feliz,0.2877065172363517,1
Lynwood,0.7994706737201095,4
Malibu,0.2521810027075276,1
Manhattan Beach,0.2745002204787376,1
Mar Vista,0.23524325230016885,1
Marina del Rey,0,0
Marina Peninsula,0.22807828748739345,1
Maywood,0.7236046509083282,4
Melrose,0.49283411574503266,2
Mid-City,0,0
missing,0,0
Mission Hills,0.6792290508193897,3
Monrovia,0.5502012198107971,3
Montebello,0.6832327556158465,3
Monterey Park,0.43155536729665206,2
North Hills,0.7130414525957691,4
