community,risk_score,risk_level
Acton,0.27453865989130843,1
Agoura Hills,0.19119702605639535,1
Agua Dulce,0,0
Alhambra,0.43229526190795836,2
Altadena,0.3893451094177386,2
Arcadia,0.26450152835390756,1
Artesia,0.5641838677544226,3
Atwater Village,0.43743329855744956,2
Azusa,0.6784257559682175,3
Baldwin Hills,0.5093919574246872,2
Baldwin Park,0.7535246388222155,4
Bassett,0,0
Bel Air Estates,0,0
Bell,0.7738470586360003,4
Beverly Hills,0.32988931677474304,2
Boyle Heights,0.8014921599908503,4
Bradbury,0.05303188873617713,1
Brentwood,0.2571253002947557,1
Burbank,0.37917608541542785,2
Canoga Park,0.6049008562460277,3
Carson,0.5255408463469122,3
Castaic,0.8853632309176487,4
Central,0.7016978624957744,4
Century City,0.15060794843997546,1
Cerritos,0.3373549846130339,2
Chatsworth,0.4406607138710666,2
Chinatown,0.30233242902540697,1
Claremont,0.3196620987238461,1
Commerce,0.7452080394296954,4
Compton,0.7551168206243022,4
Covina,0.659710704271225,3
Cudahy,0.8008173349852463,4
Culver City,0.2368071893473182,1
Del Sur,0,0
Diamond Bar,0.30865370100269285,1
Downey,0.7024942898567502,4
Downtown,0.4025077804998923,2
Downtown Bunker Hill,0,0
Downtown Historic Core,0,0
Duarte,0.53335883602498,3
Eagle Rock,0.43463050009997317,2
East Hollywood,0.5463416156975933,3
East Los Angeles,0.8259110141051903,4
Echo Park,0.43855204349654187,2
El Monte,0.7103169158565238,4
El Segundo,0.24017507591716636,1
El Sereno,0.7055967618641784,4
Encino,0.252278848211019,1
Florence-Firestone,0.8333170352134758,4
Gardena,0.5435106307587336,3
Glassell Park,0.5291761013802684,3
Glendale,0.4708898351950944,2
Glendora,0.6113948924665176,3
Granada Hills,0.5628651869014508,3
Hacienda Heights,0.5577410071626195,3
Hancock Park,0.34387755997813885,2
Harbor City,0.5477299740581737,3
Harbor Gateway,0.6709211205107724,3
Hawaiian Gardens,0.7339845587660844,4
Hawthorne,0.5503427139187747,3
Hermosa Beach,0.3740124061650875,2
Hi Vista,0,0
Hidden Hills,0.1458636461071303,1
Highland Park,0.600231634440316,3
Hollywood,0.42471013528084467,2
Huntington Park,0.7690732233028853,4
