community,risk_score,risk_level
Acton,0.29871218507487257,1
Agoura Hills,0.18973546814299747,1
Agua Dulce,0,0
Alhambra,0.41426805659450894,2
Altadena,0.40906527895994066,2
Arcadia,0.25724546847709456,1
Artesia,0.523211460886558,3
Atwater Village,0.3936156690381181,2
Azusa,0.6715195307247656,3
Baldwin Hills,0.537749098412543,3
Baldwin Park,0.7148768570088846,4
Bassett,0.7197696296713225,4
Bel Air Estates,0,0
Bell,0.7706553537672065,4
Beverly Hills,0.31128867951180195,1
Boyle Heights,0.8065519058737447,4
Bradbury,0.4230229081409221,2
Brentwood,0.22034921094576065,1
Burbank,0.35234665171061375,2
Canoga Park,0.5946717623099896,3
Carson,0.5731030891509743,3
Castaic,0.857907522502213,4
Central,0.6989487653042783,4
Century City,0.14952324398842481,1
Cerritos,0.318256212008043,1
Chatsworth,0.41664815571780733,2
Chinatown,0.3078920181412744,1
Claremont,0.3139964571893265,1
Commerce,0.7436975657646097,4
Compton,0.7633876600879348,4
Covina,0.6941958647800996,4
Cudahy,0.8233671696942412,4
Culver City,0.27535836342386705,1
Del Sur,0,0
Diamond Bar,0.29322605343133945,1
Downey,0.7002856176221347,4
Downtown,0.3706765840756569,2
Downtown Bunker Hill,0,0
Downtown Historic Core,0,0
Duarte,0.5641099780811705,3
Eagle Rock,0.4502246385867807,2
East Hollywood,0.5248096359411709,3
East Los Angeles,0.8172248583428572,4
Echo Park,0.3932785070033666,2
El Monte,0.6999072239479361,4
El Segundo,0.2873924226644487,1
El Sereno,0.6649651497496537,3
Encino,0.22153273852571914,1
Florence-Firestone,0.8207244554849167,4
Gardena,0.541416529042712,3
Glassell Park,0.535602518543268,3
Glendale,0.42873656449785935,2
Glendora,0.617489586399493,3
Granada Hills,0.5441248049987072,3
Hacienda Heights,0.5473048756275065,3
Hancock Park,0.3509090346170029,2
Harbor City,0.5642829682498934,3
Harbor Gateway,0.6616691626073493,3
Hawaiian Gardens,0.7341269809730682,4
Hawthorne,0.6344808155948441,3
Hermosa Beach,0.38326545096829445,2
Hi Vista,0,0
Hidden Hills,0.1443458726129631,1
Highland Park,0.6028915682288479,3
Hollywood,0.40790304500325714,2
Huntington Park,0.7768588199614422,4
Hyde Park,0.7149908893087039,4
Inglewood,0.6211288570287059,3
Jefferson Park,0.7495325922912316,4
Koreatown,0.6214749917922121,3
La Habra Heights,0.5009967793640887,2
La Mirada,0.5159469695692402,2
La Puente,0.700401399775409,4
La Verne,0.4447677865419216,2
Ladera Heights,0,0
Lake Balboa,0.5312291238356988,3
Lake Hughes,0,0
Lake Los Angeles,0.6073212584018903,3
Lakewood,0.40774524169267373,2
Lancaster,0.5390064520294547,3
Lawndale,0.5480509815773952,3
Lennox,0,0
Leona Valley,0,0
Lincoln Heights,0.7041344319104037,4
Llano,0,0
Lomita,0.34574803394022374,2
Los Feliz,0.28705570492407434,1
Lynwood,0.8333559256777094,4
Malibu,0.27908261852434746,1
Manhattan Beach,0.2975670825545468,1
Mar Vista,0.23684137693933421,1
Marina del Rey,0,0
Marina Peninsula,0.24950487387979584,1
Maywood,0.7819044655628137,4
Melrose,0.4925022855882682,2
Mid-City,0,0
missing,0,0
Mission Hills,0.6584701421309144,3
Monrovia,0.5467401688722847,3
Montebello,0.6757205315466711,3
Monterey Park,0.4431551933604719,2
North Hills,0.7176667159199757,4
North Hollywood,0.5939495140398178,3
Northridge,0.4976422478446497,2
Norwalk,0.7105086277273779,4
Pacific Palisades,0.18558682534679818,1
Pacoima,0.7774915050703698,4
Palmdale,0.6498389912859257,3
Palms,0.3495859655127863,2
Panorama City,0.7282463017337014,4
Paramount,0.7238501535542882,4
Pasadena,0.5027567102496228,2
Pico Rivera,0.7666410633048028,4
Playa Vista,0.37126111971573444,2
Pomona,0.7165575822815139,4
Porter Ranch,0.30941107432216625,1
Rancho Palos Verdes,0.26952213351130355,1
Rancho Park,0.28816135239073204,1
Redondo Beach,0.31252277049766936,1
Reseda,0.5785549655259362,3
Rosemead,0.49211774223341265,2
Rosewood,0,0
Rowland Heights,0.39558989983633813,2
San Dimas,0.42185976075342474,2
San Fernando,0.5347923753355699,3
San Gabriel,0.4205445032696638,2
San Marino,0.18242766225551144,1
San Pedro,0.5939101906425449,3
Santa Catalina Island,0,0
Santa Clarita,0.4388265476993494,2
Santa Fe Springs,0.5466041267120701,3
Santa Monica,0.240157355350796,1
Shadow Hills,0.44902699269893964,2
Sherman Oaks,0.2773337621746365,1
Sierra Madre,0.24561167431678027,1
Signal Hill,0.5411482133059503,3
South Gate,0.7996867371030425,4
South Los Angeles,0,0
South Park,0.6964544520853904,4
South Pasadena,0.21882467187887872,1
Stevenson Ranch,0.3964003740001913,2
Studio City,0.2846235759521791,1
Sun Valley,0.6468726797776261,3
Sun Village,0,0
Sylmar,0.730387783844434,4
Tarzana,0.4029610593878904,2
Temple City,0.4332021431959518,2
Toluca Lake,0.24864951240962,1
Toluca Terrace,0.3780083544129361,2
Torrance,0.2921856795571301,1
Tujunga,0.5553176774617103,3
University Park,0.7420902723254575,4
Valencia,0,0
Valley Glen,0.5570466155893583,3
Valley Village,0.45694678603886335,2
Van Nuys,0.6359365939937515,3
Venice,0.2823455935000953,1
Vernon,0.47787521462162674,2
Walnut,0.2516469952626687,1
Watts,0.8648110344928575,4
West Adams,0.659600488215687,3
West Hills,0.373348298161945,2
West Hollywood,0.32808795823111653,1
Westchester,0.23755095627727013,1
Westlake,0.7267510300222015,4
Westlake Village,0.23606383553280735,1
Westwood,0.18507834630603143,1
Whittier,0.6282861660928277,3
Willowbrook,0.8073281078036525,4
Wilmington,0.7472013017642408,4
Wilshire Center,0.41976587666957366,2
Winnetka,0.5916618691845398,3
Woodland Hills,0.28864207225301136,1
