community,risk_score,risk_level
Acton,0.31128250677156766,1
Agoura Hills,0.21726457606109695,1
Agua Dulce,0,0
Alhambra,0.4392975911570133,2
Altadena,0.4523086838187737,2
Arcadia,0.274257940972854,1
Artesia,0.5286475663632105,3
Atwater Village,0.4027025521924563,2
Azusa,0.6974032480778795,4
Baldwin Hills,0.5566588981838105,3
Baldwin Park,0.7820381780719587,4
Bassett,0.7795257691674172,4
Bel Air Estates,0,0
Bell,0.7714586107891512,4
Beverly Hills,0.35890157316347027,2
Boyle Heights,0.8111275595106674,4
Bradbury,0.05781223168069082,1
Brentwood,0.23177419139014213,1
Burbank,0.38963148557019206,2
Canoga Park,0.6207097313273798,3
Carson,0.5896551394597845,3
Castaic,0.9228823375922461,4
Central,0.7264078044631979,4
Century City,0.18532708730224695,1
Cerritos,0.3368551230837524,1
Chatsworth,0.5059169955152706,2
Chinatown,0.3053332237694512,1
Claremont,0.3138152762868212,1
Commerce,0.8111034094707156,4
Compton,0.8011453307304275,4
Covina,0.7141706613611547,4
Cudahy,0.7944167173330876,4
Culver City,0.2886513131580323,1
Del Sur,0,0
Diamond Bar,0.3133011897160758,1
Downey,0.7310537956372111,4
Downtown,0.4540947917041511,2
Downtown Bunker Hill,0,0
Downtown Historic Core,0,0
Duarte,0.6465386620084894,3
Eagle Rock,0.40302143412649327,2
East Hollywood,0.5365854780144784,3
East Los Angeles,0.8154917184436602,4
Echo Park,0.3961225964421904,2
El Monte,0.7437430630021676,4
El Segundo,0.3389082617993807,2
El Sereno,0.7025059390500192,4
Encino,0.2934991171228368,1
Florence-Firestone,0.8282496599048036,4
Gardena,0.5849253596119627,3
Glassell Park,0.54454163730396,3
Glendale,0.48897352121849136,2
Glendora,0.670641666266914,3
Granada Hills,0.53520571158786,3
Hacienda Heights,0.5771006055093799,3
Hancock Park,0.35727899409669645,2
Harbor City,0.5719498356461123,3
Harbor Gateway,0.7047658968012389,4
Hawaiian Gardens,0.7485369442468252,4
Hawthorne,0.6450546116910835,3
Hermosa Beach,0.3737405548789861,2
Hi Vista,0,0
Hidden Hills,0.159803699559115,1
Highland Park,0.5756461367004302,3
Hollywood,0.43113493523548213,2
Huntington Park,0.7654418679377155,4
Hyde Park,0.6530732118179068,3
Inglewood,0.6613124558947977,3
Jefferson Park,0.7272636777414481,4
Koreatown,0.6105326035531873,3
La Habra Heights,0.5037022945104644,2
La Mirada,0.5497423378905203,3
La Puente,0.736934689546893,4
La Verne,0.4791513123131326,2
Ladera Heights,0,0
Lake Balboa,0.6078643145473154,3
Lake Hughes,0,0
Lake Los Angeles,0.6394020893560595,3
Lakewood,0.4108550290928989,2
Lancaster,0.609823094146475,3
Lawndale,0.5778700612735154,3
Lennox,0,0
Leona Valley,0,0
Lincoln Heights,0.7109079964021946,4
Llano,0,0
Lomita,0.34456474490663624,2
Los Feliz,0.29430637101585255,1
Lynwood,0.8116614983602203,4
Malibu,0.2679451953977872,1
Manhattan Beach,0.2906156495444301,1
Mar Vista,0.24534616215951005,1
Marina del Rey,0,0
Marina Peninsula,0.23287599591426753,1
Maywood,0.7713840123574441,4
Melrose,0.520583913751961,2
Mid-City,0,0
missing,0,0
Mission Hills,0.6940751705924929,4
Monrovia,0.5839233009651247,3
Montebello,0.7147886993106494,4
Monterey Park,0.4359339912699186,2
North Hills,0.7367455689554054,4
North Hollywood,0.6370144956650015,3
Northridge,0.5300093776006725,3
Norwalk,0.7164229300875712,4
Pacific Palisades,0.22160232278956327,1
Pacoima,0.7798593237503395,4
Palmdale,0.66859567467374,3
Palms,0.36744827845735795,2
Panorama City,0.7514230701017437,4
Paramount,0.7680633180817171,4
Pasadena,0.529846067134731,3
Pico Rivera,0.7482063227273099,4
Playa Vista,0.3415053173220813,2
Pomona,0.7392883412031348,4
Porter Ranch,0.31277601402727506,1
Rancho Palos Verdes,0.28472765012316176,1
Rancho Park,0.3233654270518024,1
Redondo Beach,0.2962275909974436,1
Reseda,0.5998817842279386,3
Rosemead,0.48303094880253505,2
Rosewood,0,0
Rowland Heights,0.40161414845895266,2
San Dimas,0.4497204282850089,2
San Fernando,0.5849237628962239,3
San Gabriel,0.43045821014902164,2
San Marino,0.24712562417343714,1
San Pedro,0.6339045090856629,3
Santa Catalina Island,0,0
Santa Clarita,0.4631324054572731,2
Santa Fe Springs,0.7174530500514016,4
Santa Monica,0.24176576567321306,1
Shadow Hills,0.4561700016627279,2
Sherman Oaks,0.3031326596279533,1
Sierra Madre,0.26702720285871673,1
Signal Hill,0.6089405136241872,3
South Gate,0.7987497591030555,4
South Los Angeles,0,0
South Park,0.7250739998274258,4
South Pasadena,0.2569374959450512,1
Stevenson Ranch,0.38233611580618687,2
Studio City,0.3005608026887128,1
Sun Valley,0.715039415203915,4
Sun Village,0,0
Sylmar,0.7505352511116611,4
Tarzana,0.4606182121085342,2
Temple City,0.4386527626549215,2
Toluca Lake,0.2946011964631791,1
Toluca Terrace,0.447763604833653,2
Torrance,0.3186056097779965,1
Tujunga,0.5791636523117453,3
University Park,0.7921308319916986,4
Valencia,0,0
Valley Glen,0.5696794740707112,3
Valley Village,0.5083495542423558,2
Van Nuys,0.6993452493682997,4
Venice,0.2677485431841301,1
Vernon,0.6220699804690868,3
Walnut,0.31431258311467153,1
Watts,0.90831241626941694,4
West Adams,0.6761415743643966,3
West Hills,0.3998650400209412,2
West Hollywood,0.33599209088173315,1
Westchester,0.24383662789559188,1
Westlake,0.7304742102203928,4
Westlake Village,0.2906191615239197,1
Westwood,0.20485535029482121,1
Whittier,0.6520788471223626,3
Willowbrook,0.792598752328741,4
Wilmington,0.7683720315680156,4
Wilshire Center,0.48627275242000223,2
Winnetka,0.6050763989819365,3
Woodland Hills,0.3080731375082303,1
