community,risk_score,risk_level
Acton,0.3074987911837694,1
Agoura Hills,0.16967692485806074,1
Agua Dulce,0,0
Alhambra,0.38662455395817924,2
Altadena,0.37575714680677713,2
Arcadia,0.2252708492450896,1
Artesia,0.4729114979045547,2
Atwater Village,0.37607407656938774,2
Azusa,0.6355035027866323,3
Baldwin Hills,0.49523547674826907,2
Baldwin Park,0.6619091068850209,3
Bassett,0.6672990761421924,3
Bel Air Estates,0,0
Bell,0.7128103245194123,4
Beverly Hills,0.28878198781452885,1
Boyle Heights,0.7839489076676162,4
Bradbury,0.4329442321922049,2
Brentwood,0.2229312389598979,1
Burbank,0.3305862281035766,1
Canoga Park,0.5459231438776407,3
Carson,0.5434584245682387,3
Castaic,0.8361331213447611,4
Central,0.6112403971922162,3
Century City,0.12815878874686729,1
Cerritos,0.29649342005150586,1
Chatsworth,0.37101786657525876,2
Chinatown,0.2970230927080869,1
Claremont,0.29163661457797757,1
Commerce,0.6753740996247279,3
Compton,0.7184985563678375,4
Covina,0.6474288517152824,3
Cudahy,0.7657055271633728,4
Culver City,0.2598719938148302,1
Del Sur,0,0
Diamond Bar,0.27256197064166404,1
Downey,0.6550618144385703,3
Downtown,0.3199828794084949,1
Downtown Bunker Hill,0,0
Downtown Historic Core,0,0
Duarte,0.524318757947237,3
Eagle Rock,0.4275309972050032,2
East Hollywood,0.5175585281862122,2
East Los Angeles,0.782781292666752,4
Echo Park,0.3836457840294269,2
El Monte,0.6380858212475071,3
El Segundo,0.28738884392328834,1
El Sereno,0.6593772253694812,3
Encino,0.21268173725289302,1
Florence-Firestone,0.7943009266949558,4
Gardena,0.4881495548072644,2
Glassell Park,0.5133012223362392,2
Glendale,0.41188041394662295,2
Glendora,0.581274216139326,3
Granada Hills,0.49377166036227077,2
Hacienda Heights,0.5109395448847036,2
Hancock Park,0.32395809553038535,1
Harbor City,0.48341437060319664,2
Harbor Gateway,0.6171048673145938,3
Hawaiian Gardens,0.7129792399029619,4
Hawthorne,0.6019002308208149,3
Hermosa Beach,0.3844541953434903,2
Hi Vista,0,0
Hidden Hills,0.1319172188809464,1
Highland Park,0.5884539695483354,3
Hollywood,0.3925442860422322,2
Huntington Park,0.7314747965147008,4
Hyde Park,0.6482930484304671,3
Inglewood,0.5931418657619995,3
Jefferson Park,0.6878678265676637,3
Koreatown,0.5964455847577945,3
La Habra Heights,0.4400111211439644,2
La Mirada,0.5033224411012863,2
La Puente,0.6814410490847735,3
La Verne,0.41073855110301255,2
Ladera Heights,0,0
Lake Balboa,0.5179286851051661,2
Lake Hughes,0,0
Lake Los Angeles,0.5805766814311567,3
Lakewood,0.38719551034172583,2
Lancaster,0.479212353480656,2
Lawndale,0.5280953171954516,3
Lennox,0,0
Leona Valley,0,0
Lincoln Heights,0.702362000499656,4
Llano,0,0
Lomita,0.30654064085075394,1
Los Feliz,0.2765726934409903,1
Lynwood,0.7975874117536766,4
