community,risk_score,risk_level
Acton,0.3191297796356881,1
Agoura Hills,0.21759518148050486,1
Agua Dulce,0,0
Alhambra,0.43502591330319695,2
Altadena,0.4394181881579292,2
Arcadia,0.2794175045954564,1
Artesia,0.4901179238280368,2
Atwater Village,0.3978509799548443,2
Azusa,0.717394994169114,4
Baldwin Hills,0.5549605578811597,3
Baldwin Park,0.7787540546465208,4
Bassett,0.7549849837069903,4
Bel Air Estates,0,0
Bell,0.7414135941953779,4
Beverly Hills,0.36239442594649185,2
Boyle Heights,0.8122920785736335,4
Bradbury,0.43295429949210473,2
Brentwood,0.2388057670428777,1
Burbank,0.38711402473702966,2
Canoga Park,0.6160289282390794,3
Carson,0.5935298017245285,3
Castaic,0.9058502967336646,4
Central,0.7187122540898233,4
Century City,0.18539636287479438,1
Cerritos,0.32854819080940706,1
Chatsworth,0.4945788121295345,2
Chinatown,0.30511797365387616,1
Claremont,0.3187210969617608,1
Commerce,0.8031677739995942,4
Compton,0.7867609708556018,4
Covina,0.7262046407447205,4
Cudahy,0.8048407795674524,4
Culver City,0.293909343329359,1
Del Sur,0,0
Diamond Bar,0.31469205364275277,1
Downey,0.7200717255068542,4
Downtown,0.44509998904077264,2
Downtown Bunker Hill,0,0
Downtown Historic Core,0,0
Duarte,0.6505784876938304,3
Eagle Rock,0.44599022292076834,2
East Hollywood,0.5191686115166478,2
East Los Angeles,0.8207331602421528,4
Echo Park,0.3857825221112338,2
El Monte,0.7479690627951754,4
El Segundo,0.336902450355711,1
El Sereno,0.6710047112098853,3
Encino,0.280153589800022,1
Florence-Firestone,0.8313326084877406,4
Gardena,0.590430626871477,3
Glassell Park,0.5326850571989984,3
Glendale,0.4711131232380577,2
Glendora,0.6740315773696608,3
Granada Hills,0.5439792101834228,3
Hacienda Heights,0.587181803569532,3
Hancock Park,0.3538727857121919,2
Harbor City,0.5917124279379078,3
Harbor Gateway,0.7039595065352305,4
Hawaiian Gardens,0.6967655884853403,4
Hawthorne,0.6443940531806982,3
Hermosa Beach,0.3738952996016465,2
Hi Vista,0,0
Hidden Hills,0.1666964338420523,1
Highland Park,0.5841809640302565,3
Hollywood,0.416874996603289,2
Huntington Park,0.7875092430397206,4
Hyde Park,0.6720120157096343,3
Inglewood,0.6450735111120496,3
Jefferson Park,0.7497251664139478,4
Koreatown,0.6200596290772341,3
La Habra Heights,0.48869402218732894,2
La Mirada,0.5650342442138316,3
La Puente,0.7406987070506635,4
La Verne,0.4754693878578296,2
Ladera Heights,0,0
Lake Balboa,0.5882598309580498,3
Lake Hughes,0,0
Lake Los Angeles,0.6476699366846315,3
Lakewood,0.40235439973665205,2
Lancaster,0.5984500926092503,3
Lawndale,0.5638131218198441,3
Lennox,0,0
Leona Valley,0,0
Lincoln Heights,0.7246473502431423,4
Llano,0,0
Lomita,0.3329426521854151,1
Los Feliz,0.3003573832418693,1
Lynwood,0.7931591586469161,4
Malibu,0.27008215776121913,1
Manhattan Beach,0.2967632873547274,1
Mar Vista,0.24733231899148245,1
Marina del Rey,0,0
Marina Peninsula,0.2251450335738313,1
Maywood,0.8043433731689326,4
Melrose,0.5157422925401646,2
Mid-City,0,0
missing,0,0
Mission Hills,0.679170403721528,3
Monrovia,0.5966319181074883,3
Montebello,0.7185441524134056,4
Monterey Park,0.4344539376685524,2
North Hills,0.7287237014887561,4
North Hollywood,0.6161241360030264,3
Northridge,0.535483581888762,3
Norwalk,0.7213978874431551,4
Pacific Palisades,0.21261739567719884,1
Pacoima,0.7826062373486906,4
Palmdale,0.6751569729967017,3
Palms,0.35956957259278277,2
Panorama City,0.7470093047227326,4
Paramount,0.7616757083603892,4
Pasadena,0.5440221309907862,3
Pico Rivera,0.7477968951252684,4
Playa Vista,0.3345892837094236,1
Pomona,0.7422640774199677,4
Porter Ranch,0.3191484536492041,1
Rancho Palos Verdes,0.27785051606575323,1
Rancho Park,0.3096128116458525,1
Redondo Beach,0.30203175158203505,1
Reseda,0.6015668815801072,3
Rosemead,0.4831379098386639,2
Rosewood,0,0
Rowland Heights,0.4063390216381011,2
San Dimas,0.45160847290157,2
San Fernando,0.5673734865154201,3
San Gabriel,0.40946744291712545,2
San Marino,0.2516171942770756,1
San Pedro,0.6405180452592549,3
Santa Catalina Island,0,0
Santa Clarita,0.45371467587245606,2
Santa Fe Springs,0.697811227430372,4
Santa Monica,0.23914262820106777,1
Shadow Hills,0.479023121213665,2
Sherman Oaks,0.29220163752793066,1
Sierra Madre,0.27136448252458095,1
Signal Hill,0.6170302723707988,3
South Gate,0.7921529556599516,4
South Los Angeles,0,0
South Park,0.7123446419954943,4
South Pasadena,0.2610231635324248,1
Stevenson Ranch,0.385812814917725,2
Studio City,0.28601172691483384,1
Sun Valley,0.7121354552396392,4
Sun Village,0,0
Sylmar,0.7597030868335958,4
Tarzana,0.4410880441634681,2
Temple City,0.42705492530699035,2
Toluca Lake,0.28280991059966415,1
Toluca Terrace,0.4490653828431138,2
Torrance,0.32091613801265634,1
Tujunga,0.5775460976832143,3
University Park,0.7752734280574034,4
Valencia,0,0
Valley Glen,0.578652725742505,3
Valley Village,0.5087868584281622,2
Van Nuys,0.6938981598031226,3
Venice,0.2677224604974823,1
Vernon,0.6096778374323442,3
Walnut,0.3070711064392617,1
Watts,0.8664911867653445,4
West Adams,0.6803571174612327,3
West Hills,0.399735868080938,2
West Hollywood,0.3425485770309387,2
Westchester,0.23580653488140083,1
Westlake,0.7109102108330385,4
Westlake Village,0.29184813035528984,1
Westwood,0.1933771951909666,1
Whittier,0.6481944312110811,3
Willowbrook,0.7946968394162739,4
Wilmington,0.7591719004376113,4
Wilshire Center,0.49305396481582664,2
Winnetka,0.5897649244100924,3
Woodland Hills,0.31313458445901327,1
