community,risk_score,risk_level
Acton,0.2828992982169785,1
Agoura Hills,0.2234729668504098,1
Agua Dulce,0,0
Alhambra,0.44229473270500075,2
Altadena,0.4119306501479834,2
Arcadia,0.29102997907116296,1
Artesia,0.5604979608179074,3
Atwater Village,0.3879649244196187,2
Azusa,0.7127937066063089,4
Baldwin Hills,0.5470242370056425,3
Baldwin Park,0.7995773752620122,4
Bassett,0,0
Bel Air Estates,0,0
Bell,0.780095199253074,4
Beverly Hills,0.38093235646240553,2
Boyle Heights,0.8209272560264632,4
Bradbury,0.5292583446630227,3
Brentwood,0.24658843370826525,1
Burbank,0.4177371979274557,2
Canoga Park,0.6340815277225342,3
Carson,0.529606163747397,3
Castaic,0.9029704895975255,4
Central,0.7198314065354381,4
Century City,0.18781366016437534,1
Cerritos,0.3368757728018295,2
Chatsworth,0.5187018348071039,3
Chinatown,0.3118290429269592,1
Claremont,0.3563432591524878,2
Commerce,0.810129190688831,4
Compton,0.8092616930632929,4
Covina,0.669989298861488,3
Cudahy,0.8143999856356376,4
Culver City,0.25767436257090115,1
Del Sur,0,0
Diamond Bar,0.31997859932438355,1
Downey,0.7490538424216101,4
Downtown,0.46396354137464774,2
Downtown Bunker Hill,0,0
Downtown Historic Core,0,0
Duarte,0.5784104021756564,3
Eagle Rock,0.44399737330255645,2
East Hollywood,0.5564150305475092,3
East Los Angeles,0.8337084487348156,4
Echo Park,0.44035494645871665,2
El Monte,0.7476885007637769,4
El Segundo,0.26746853120982583,1
El Sereno,0.7238983388589839,4
Encino,0.3022906711743835,1
Florence-Firestone,0.813320359893152,4
Gardena,0.5809599903330217,3
Glassell Park,0.538152762966742,3
Glendale,0.5063070034281462,2
Glendora,0.6441408010217715,3
Granada Hills,0.5554109702533258,3
Hacienda Heights,0.5792382593459553,3
Hancock Park,0.34879252976341385,2
Harbor City,0.5692089345907404,3
Harbor Gateway,0.7069916200472651,4
Hawaiian Gardens,0.7459727085128459,4
Hawthorne,0.5698782596993652,3
Hermosa Beach,0.3760354522197224,2
Hi Vista,0,0
Hidden Hills,0.1712220460438914,1
Highland Park,0.6103608198930194,3
Hollywood,0.4437232225989609,2
Huntington Park,0.7670102805544128,4
Hyde Park,0.6593820780134905,3
Inglewood,0.6383762287526907,3
Jefferson Park,0.7516399363648085,4
Koreatown,0.6099613641109694,3
La Habra Heights,0.5179095230295969,3
La Mirada,0.5397077729013416,3
La Puente,0.7818427711995896,4
La Verne,0.49934871432499134,2
Ladera Heights,0,0
Lake Balboa,0.6187212002346238,3
Lake Hughes,0,0
Lake Los Angeles,0.4319773019448389,2
Lakewood,0.4081361619875742,2
Lancaster,0.6295653000157377,3
Lawndale,0.5639699395678859,3
Lennox,0,0
Leona Valley,0,0
Lincoln Heights,0.7147488190418766,4
Llano,0,0
Lomita,0.31138692373930393,1
Los Feliz,0.3094394235730418,1
Lynwood,0.8072486607746869,4
Malibu,0.270212642079219,1
Manhattan Beach,0.2995365523464078,1
Mar Vista,0.25600310523830166,1
Marina del Rey,0,0
Marina Peninsula,0.23974080809004925,1
Maywood,0.7656370783926731,4
Melrose,0.5187139177757706,3
Mid-City,0,0
missing,0,0
Mission Hills,0.7043186980835288,4
Monrovia,0.5879580751731365,3
Montebello,0.714381278064188,4
Monterey Park,0.4574279280255842,2
North Hills,0.7406232525934455,4
North Hollywood,0.6233207491678876,3
Northridge,0.5553819236745212,3
Norwalk,0.7385869271664568,4
Pacific Palisades,0.21303277943947282,1
Pacoima,0.7924086047092403,4
Palmdale,0.67525646222798,3
Palms,0.36548061067727855,2
Panorama City,0.7749887294232047,4
Paramount,0.7792986454132472,4
Pasadena,0.4866521401491654,2
Pico Rivera,0.7899628641977153,4
Playa Vista,0.2601399668559292,1
Pomona,0.7597422266994948,4
Porter Ranch,0.335395031547843,2
Rancho Palos Verdes,0.2866736231071569,1
Rancho Park,0.30605919474401966,1
Redondo Beach,0.29837773218027247,1
Reseda,0.632444620240679,3
Rosemead,0.48186565235325507,2
Rosewood,0,0
Rowland Heights,0.4271042101134912,2
San Dimas,0.4626358380052688,2
San Fernando,0.5987782071637213,3
San Gabriel,0.4289582760542917,2
San Marino,0.24564677666700363,1
San Pedro,0.6450662772343378,3
Santa Catalina Island,0,0
Santa Clarita,0.4864405263847949,2
Santa Fe Springs,0.6991893194317804,4
Santa Monica,0.24931926300578142,1
Shadow Hills,0.46248024486142186,2
Sherman Oaks,0.3101959132402239,1
Sierra Madre,0.27273079759137303,1
Signal Hill,0.6183812577602391,3
South Gate,0.808654097696274,4
South Los Angeles,0,0
South Park,0.7291064340369497,4
South Pasadena,0.2557839481561576,1
Stevenson Ranch,0.33457440887867346,2
Studio City,0.3146146661746542,1
Sun Valley,0.7321652443623119,4
Sun Village,0,0
Sylmar,0.7720294307335585,4
Tarzana,0.49620228084401463,2
Temple City,0.42414522579850594,2
Toluca Lake,0.30083026357236936,1
Toluca Terrace,0.4561787288404197,2
Torrance,0.32560429361418664,1
Tujunga,0.5985700654833204,3
University Park,0.8044805541038836,4
Valencia,0,0
Valley Glen,0.6187824822037026,3
Valley Village,0.5241214910475994,3
Van Nuys,0.7204152882595406,4
Venice,0.2726901588431408,1
Vernon,0.6452771732502753,3
Walnut,0.3125530381787588,1
Watts,0.8841472212202769,4
West Adams,0.6910045912531348,3
West Hills,0.39143662000252166,2
West Hollywood,0.3610356845252707,2
Westchester,0.25200758656553407,1
Westlake,0.757052566543718,4
Westlake Village,0.309311347158052,1
Westwood,0.20336848991682022,1
Whittier,0.6481766054265157,3
Willowbrook,0.5246950793134306,3
Wilmington,0.779769542128898,4
Wilshire Center,0.5026534555752894,2
Winnetka,0.6148547431530701,3
Woodland Hills,0.328110585157307,2
