community,risk_score,risk_level
Acton,0.312599296485983,1
Agoura Hills,0.20878343381764425,1
Agua Dulce,0,0
Alhambra,0.42774877461907196,2
Altadena,0.4242601193707889,2
Arcadia,0.274513454086791,1
Artesia,0.48019872683529863,2
Atwater Village,0.40425870452883866,2
Azusa,0.7030263918347291,4
Baldwin Hills,0.5638586660091204,3
Baldwin Park,0.7461281574119694,4
Bassett,0.7785606037510091,4
Bel Air Estates,0,0
Bell,0.7587705139889726,4
Beverly Hills,0.3567982916103072,2
Boyle Heights,0.8175468097670033,4
Bradbury,0.4737095898198578,2
Brentwood,0.2408575828976489,1
Burbank,0.37948364081160096,2
Canoga Park,0.6233108587248188,3
Carson,0.5960619334745653,3
Castaic,0.862966196472955,4
Central,0.7285886020179835,4
Century City,0.17580351636456848,1
Cerritos,0.3320350467931922,1
Chatsworth,0.4882658533372768,2
Chinatown,0.31031889589921374,1
Claremont,0.3292125014693805,1
Commerce,0.7982069209842158,4
Compton,0.7907241537274569,4
Covina,0.7183065967394336,4
Cudahy,0.8270189507615036,4
Culver City,0.2851114733438926,1
Del Sur,0,0
Diamond Bar,0.31354394307541594,1
Downey,0.721664173610263,4
Downtown,0.43162971931302796,2
Downtown Bunker Hill,0,0
Downtown Historic Core,0,0
Duarte,0.6196311793421753,3
Eagle Rock,0.4479667378978839,2
East Hollywood,0.5215828299026998,3
East Los Angeles,0.8176361556799705,4
Echo Park,0.4205794856466338,2
El Monte,0.7389760069361443,4
El Segundo,0.3346018018954289,1
El Sereno,0.6763922776305102,3
Encino,0.28151431736255395,1
Florence-Firestone,0.8421712234238656,4
Gardena,0.5871756470628989,3
Glassell Park,0.5359173342993233,3
Glendale,0.46513133135614004,2
Glendora,0.640867763239153,3
Granada Hills,0.5421213713649283,3
Hacienda Heights,0.5711258491182395,3
Hancock Park,0.3420004513754355,2
Harbor City,0.550513120337835,3
Harbor Gateway,0.7060406953036119,4
Hawaiian Gardens,0.6951932536005928,4
Hawthorne,0.6475122580501901,3
Hermosa Beach,0.3834741925392057,2
Hi Vista,0,0
Hidden Hills,0.169996640516501,1
Highland Park,0.5928616414321162,3
Hollywood,0.42156295343155264,2
Huntington Park,0.7824771205668719,4
Hyde Park,0.6676215959799912,3
Inglewood,0.6332371584169215,3
Jefferson Park,0.7298391184188879,4
Koreatown,0.6182140519607124,3
La Habra Heights,0.47795808355878605,2
La Mirada,0.5458128096958058,3
La Puente,0.7409629487884403,4
La Verne,0.4726868463552432,2
Ladera Heights,0,0
Lake Balboa,0.5732442320631085,3
Lake Hughes,0,0
Lake Los Angeles,0.5455301988213856,3
Lakewood,0.4056925662644409,2
Lancaster,0.5931767414002264,3
Lawndale,0.5530211936044471,3
Lennox,0,0
Leona Valley,0,0
Lincoln Heights,0.7075526012374338,4
Llano,0,0
Lomita,0.31673806804050164,1
Los Feliz,0.2881695748938028,1
Lynwood,0.8006503001308037,4
Malibu,0.27604909116749826,1
Manhattan Beach,0.29637303393013903,1
Mar Vista,0.24034411478122095,1
Marina del Rey,0,0
Marina Peninsula,0.22320677809584522,1
Maywood,0.7421238057638666,4
Melrose,0.5223339531520801,3
Mid-City,0,0
missing,0,0
Mission Hills,0.6892314774743321,3
Monrovia,0.5916612401863929,3
Montebello,0.6993030361955298,4
Monterey Park,0.4558086156521602,2
North Hills,0.7510727762719577,4
North Hollywood,0.5805472265770562,3
Northridge,0.5177140535404716,2
Norwalk,0.7323695539189918,4
Pacific Palisades,0.2115289171159625,1
Pacoima,0.7892578098196059,4
Palmdale,0.6662662616673252,3
Palms,0.3690063921980668,2
Panorama City,0.7567249054209173,4
Paramount,0.7517668188710948,4
Pasadena,0.5309806482838524,3
Pico Rivera,0.7566583854088617,4
Playa Vista,0.3741576005577265,2
Pomona,0.7468588992728892,4
Porter Ranch,0.30408796419003753,1
Rancho Palos Verdes,0.2752685920789164,1
Rancho Park,0.3085824208451879,1
Redondo Beach,0.3037123866180061,1
Reseda,0.5931476626849685,3
Rosemead,0.48512997475113673,2
Rosewood,0,0
Rowland Heights,0.4194269253000876,2
San Dimas,0.43403715754168265,2
San Fernando,0.5654497278148459,3
San Gabriel,0.41336792689663693,2
San Marino,0.23789706076228148,1
San Pedro,0.6381179425835743,3
Santa Catalina Island,0,0
Santa Clarita,0.44848976229175824,2
