community,risk_score,risk_level
Acton,0.2842716361867957,1
Agoura Hills,0.16845684693503676,1
Agua Dulce,0,0
Alhambra,0.3894882818569127,2
Altadena,0.39983150837035875,2
Arcadia,0.22460167857955066,1
Artesia,0.4748072686404039,2
Atwater Village,0.3716200811296668,2
Azusa,0.6307882902858739,3
Baldwin Hills,0.5132308098030076,2
Baldwin Park,0.663722407171123,3
Bassett,0.6619618573332726,3
Bel Air Estates,0,0
Bell,0.717180881982127,4
Beverly Hills,0.2869199942883825,1
Boyle Heights,0.7668618668345749,4
Bradbury,0.4616932021686333,2
Brentwood,0.22206330161264784,1
Burbank,0.3300372862319991,1
Canoga Park,0.5569573497919124,3
Carson,0.5488908310917049,3
Castaic,0.8657787699629566,4
Central,0.6284908372789049,3
Century City,0.12984219666576471,1
Cerritos,0.2959288198410428,1
Chatsworth,0.3742230020109199,2
Chinatown,0.2950355516088453,1
Claremont,0.29229592082745764,1
Commerce,0.6801918062636733,3
Compton,0.7094580538799095,4
Covina,0.6405986142567927,3
Cudahy,0.7620925574398086,4
Culver City,0.2555996851009032,1
Del Sur,0,0
Diamond Bar,0.2606764812551923,1
Downey,0.6471119699079508,3
Downtown,0.31752341379256954,1
Downtown Bunker Hill,0,0
Downtown Historic Core,0,0
Duarte,0.5370787334337244,3
Eagle Rock,0.4112557031639029,2
East Hollywood,0.5219730130647631,2
East Los Angeles,0.7758518224330357,4
Echo Park,0.38685009065571163,2
El Monte,0.6337476126391618,3
El Segundo,0.29151572905405443,1
El Sereno,0.6558619535610267,3
Encino,0.20973977303979227,1
Florence-Firestone,0.773019891868036,4
Gardena,0.4986634185711781,2
Glassell Park,0.5145046561708506,2
Glendale,0.4187707199844408,2
Glendora,0.5742546280026957,3
Granada Hills,0.4903951756264579,2
Hacienda Heights,0.5010811826091317,2
Hancock Park,0.33140006777143105,1
Harbor City,0.494688810931482,2
Harbor Gateway,0.6158907067581177,3
Hawaiian Gardens,0.7087503782024548,4
Hawthorne,0.5881701487311354,3
Hermosa Beach,0.38784587660108205,2
Hi Vista,0,0
Hidden Hills,0.1278271459097208,1
Highland Park,0.5718948948353535,3
Hollywood,0.3979858001184803,2
Huntington Park,0.7327861002360369,4
Hyde Park,0.6342679022643083,3
Inglewood,0.5994566880007107,3
Jefferson Park,0.6879259982039775,3
Koreatown,0.5879703051647999,3
La Habra Heights,0.43621311542037133,2
La Mirada,0.48767971326101534,2
La Puente,0.6683497397437989,3
La Verne,0.4109051582634285,2
Ladera Heights,0,0
Lake Balboa,0.5233107442598306,3
Lake Hughes,0,0
Lake Los Angeles,0.6007357033016267,3
Lakewood,0.385568082558871,2
Lancaster,0.479677163968149,2
Lawndale,0.5447264110175328,3
Lennox,0,0
Leona Valley,0,0
Lincoln Heights,0.6834418776523136,3
Llano,0,0
Lomita,0.3036237009383096,1
Los Feliz,0.27552665709612073,1
Lynwood,0.7854936566967085,4
Malibu,0.29142304059677043,1
Manhattan Beach,0.27737896785946875,1
Mar Vista,0.2410298803697842,1
Marina del Rey,0,0
Marina Peninsula,0.2479234637354742,1
Maywood,0.7113640638160423,4
Melrose,0.48718668620637606,2
Mid-City,0,0
missing,0,0
