community,risk_score,risk_level
Acton,0.26778017059251036,1
Agoura Hills,0.16481091090654032,1
Agua Dulce,0,0
Alhambra,0.38116416388934826,2
Altadena,0.38512385724447484,2
Arcadia,0.22505170200843114,1
Artesia,0.5117401311955854,2
Atwater Village,0.3719555943656235,2
Azusa,0.6405558517607006,3
Baldwin Hills,0.5253940397786279,2
Baldwin Park,0.6875340442350636,3
Bassett,0.6525261890264822,3
Bel Air Estates,0,0
Bell,0.7196515129688785,4
Beverly Hills,0.2925371050239785,1
Boyle Heights,0.7772573321976264,4
Bradbury,0.05693201088456836,1
Brentwood,0.24056559094126737,1
Burbank,0.3358688922964989,2
Canoga Park,0.5541409008866284,3
Carson,0.5518270511240895,3
Castaic,0.8611943716456277,4
Central,0.6254828466169763,3
Century City,0.12477738845173278,1
Cerritos,0.3049916250816391,1
Chatsworth,0.38718440796997816,2
Chinatown,0.2909059276209254,1
Claremont,0.2904847324270717,1
Commerce,0.6862041717995833,3
Compton,0.7065229522419845,4
Covina,0.6504513220888963,3
Cudahy,0.7586043203326046,4
Culver City,0.2549337057724781,1
Del Sur,0,0
Diamond Bar,0.2739062331459273,1
Downey,0.6574848187846826,3
Downtown,0.3265348599773019,1
Downtown Bunker Hill,0,0
Downtown Historic Core,0,0
Duarte,0.5321895861815497,3
Eagle Rock,0.4178145301681845,2
East Hollywood,0.5240599436130488,2
East Los Angeles,0.7734685042698954,4
Echo Park,0.4168844879962619,2
El Monte,0.6305939643430277,3
El Segundo,0.29001319491001826,1
El Sereno,0.6716671264915519,3
Encino,0.22826262818102533,1
Florence-Firestone,0.7799679710785816,4
Gardena,0.4909267887894204,2
Glassell Park,0.5132819491507428,2
Glendale,0.4222541306128386,2
Glendora,0.5681008583176475,3
Granada Hills,0.5003842598510392,2
Hacienda Heights,0.5002168591977921,2
Hancock Park,0.33378700086946134,1
Harbor City,0.485781455987076,2
Harbor Gateway,0.6083078453513613,3
Hawaiian Gardens,0.7152394187348746,4
Hawthorne,0.5909480852068821,3
Hermosa Beach,0.3971076785189734,2
Hi Vista,0,0
Hidden Hills,0.12797414810775257,1
Highland Park,0.5847690982164364,3
Hollywood,0.39537684449006577,2
Huntington Park,0.7387459206320156,4
Hyde Park,0.6609642871227444,3
Inglewood,0.5973675182310431,3
Jefferson Park,0.6759249959193824,3
Koreatown,0.5863940148845184,3
La Habra Heights,0.4370109478726219,2
La Mirada,0.492431889049494,2
La Puente,0.6687049545867906,3
La Verne,0.40719573621631083,2
Ladera Heights,0,0
Lake Balboa,0.5317280093557414,3
Lake Hughes,0,0
Lake Los Angeles,0.6352934265357364,3
Lakewood,0.41026090696620077,2
Lancaster,0.501012127060411,2
Lawndale,0.550966670247925,3
Lennox,0,0
Leona Valley,0,0
Lincoln Heights,0.6709248272694097,3
Llano,0,0
Lomita,0.31394553902145494,1
Los Feliz,0.28520728347030494,1
Lynwood,0.7738551699326214,4
Malibu,0.2836615165144704,1
Manhattan Beach,0.270676214248763,1
Mar Vista,0.2339886094346814,1
Marina del Rey,0,0
Marina Peninsula,0.24308145943056442,1
Maywood,0.7106953937094529,4
Melrose,0.48358017488891114,2
Mid-City,0,0
missing,0,0
Mission Hills,0.6380728559079569,3
Monrovia,0.5023618247189447,2
Montebello,0.6245553483813334,3
Monterey Park,0.40180505711769265,2
North Hills,0.6944324065089377,4
North Hollywood,0.5799972672760856,3
Northridge,0.4863933642069364,2
Norwalk,0.6677546808540337,3
Pacific Palisades,0.22404335568599873,1
Pacoima,0.7523866554029511,4
Palmdale,0.6068108776927861,3
Palms,0.3337478269593591,1
Panorama City,0.6954787883127302,4
Paramount,0.6790948118017567,3
Pasadena,0.4537511274094721,2
Pico Rivera,0.7348307207558818,4
Playa Vista,0.35459326980925154,2
Pomona,0.6630053311682151,3
Porter Ranch,0.27976798384289736,1
Rancho Palos Verdes,0.25739421020655234,1
Rancho Park,0.27504925908033284,1
Redondo Beach,0.2964920235757848,1
Reseda,0.5497260368721293,3
Rosemead,0.48322978622370344,2
Rosewood,0,0
Rowland Heights,0.3489494675130052,2
San Dimas,0.40316361690848046,2
San Fernando,0.5039073153511319,2
San Gabriel,0.38346066626161956,2
San Marino,0.18488999809986126,1
San Pedro,0.5747338314425559,3
Santa Catalina Island,0,0
Santa Clarita,0.4150390085824427,2
Santa Fe Springs,0.4785326451584073,2
Santa Monica,0.22619245546695146,1
Shadow Hills,0.4441539107262576,2
Sherman Oaks,0.2665129828699236,1
Sierra Madre,0.2142423624847701,1
Signal Hill,0.4949905693235254,2
South Gate,0.7682685098260258,4
South Los Angeles,0,0
South Park,0.6530536603196918,3
South Pasadena,0.2060687274607494,1
Stevenson Ranch,0.3767607222705913,2
Studio City,0.28200856954083253,1
Sun Valley,0.5820979425847096,3
Sun Village,0,0
Sylmar,0.7297704633859613,4
Tarzana,0.3893812157840582,2
Temple City,0.4058664792800476,2
Toluca Lake,0.26048848162524857,1
Toluca Terrace,0.4207523686114615,2
Torrance,0.2794331163293777,1
Tujunga,0.5236882718815715,2
University Park,0.7217461564566798,4
Valencia,0,0
Valley Glen,0.5138593499333337,2
Valley Village,0.44065809755409335,2
Van Nuys,0.5981263204996999,3
Venice,0.2969787362974299,1
Vernon,0.45159147277376577,2
Walnut,0.24796922977425032,1
Watts,0.8260839480510986,4
West Adams,0.6461562364018093,3
West Hills,0.3628652514227972,2
West Hollywood,0.3184357892550197,1
Westchester,0.23360570812116585,1
Westlake,0.681854179460166,3
Westlake Village,0.20450758389097695,1
Westwood,0.18673220145140945,1
Whittier,0.5943300826722617,3
