community,risk_score,risk_level
Acton,0.32051701699727886,1
Agoura Hills,0.19169511166260092,1
Agua Dulce,0,0
Alhambra,0.4119155281704085,2
Altadena,0.4077493303039996,2
Arcadia,0.25620224408750286,1
Artesia,0.4776779295693373,2
Atwater Village,0.401865776542201,2
Azusa,0.6955446947132317,4
Baldwin Hills,0.49569749665828877,2
Baldwin Park,0.7552411099880447,4
Bassett,0.7330918102217103,4
Bel Air Estates,0,0
Bell,0.7396530895296646,4
Beverly Hills,0.3351060153815356,1
Boyle Heights,0.8018324210554966,4
Bradbury,0.05703060298931262,1
Brentwood,0.23246843296898373,1
Burbank,0.3691733923404243,2
Canoga Park,0.601512931159659,3
Carson,0.5713920069886864,3
Castaic,0.8870285056663572,4
Central,0.7160561514900553,4
Century City,0.16765765022536996,1
Cerritos,0.3143451527432171,1
Chatsworth,0.45928980215159104,2
Chinatown,0.28602539033095825,1
Claremont,0.30608037908324304,1
Commerce,0.7833706911072595,4
Compton,0.7788266174413984,4
Covina,0.6896595106048523,4
Cudahy,0.7932239081442606,4
Culver City,0.27271122462149594,1
Del Sur,0,0
Diamond Bar,0.3009405484206085,1
Downey,0.7090691810349136,4
Downtown,0.4195880919879328,2
Downtown Bunker Hill,0,0
Downtown Historic Core,0,0
Duarte,0.6201226862350085,3
Eagle Rock,0.40414894886277414,2
East Hollywood,0.5258832982654749,3
East Los Angeles,0.8019016233511542,4
Echo Park,0.40149917511272365,2
El Monte,0.7187412657507207,4
El Segundo,0.32542401532263077,1
El Sereno,0.6765183469314389,3
Encino,0.2753696488946997,1
Florence-Firestone,0.8337751127102939,4
Gardena,0.5531989358625494,3
Glassell Park,0.5355461825642643,3
Glendale,0.46371560211745233,2
Glendora,0.6262112360440498,3
Granada Hills,0.5324815045815022,3
Hacienda Heights,0.545288174732659,3
Hancock Park,0.33844753775294567,2
Harbor City,0.543244719864619,3
Harbor Gateway,0.6816381749468652,3
Hawaiian Gardens,0.7200252173160812,4
Hawthorne,0.6145039069362235,3
Hermosa Beach,0.3552079344345918,2
Hi Vista,0,0
Hidden Hills,0.1543614562896464,1
Highland Park,0.5623786113639945,3
Hollywood,0.4140289482150655,2
Huntington Park,0.7525938637518373,4
Hyde Park,0.6493326143013896,3
Inglewood,0.6267089445660315,3
Jefferson Park,0.7178115264029656,4
Koreatown,0.5857115225497767,3
La Habra Heights,0.48216322327146655,2
La Mirada,0.5215601881461236,2
La Puente,0.7335231518451824,4
La Verne,0.46095943567474956,2
Ladera Heights,0,0
Lake Balboa,0.5881640783385708,3
Lake Hughes,0,0
Lake Los Angeles,0.5888088923505672,3
Lakewood,0.4047447047195078,2
Lancaster,0.5829115803623667,3
Lawndale,0.5416635607082267,3
Lennox,0,0
Leona Valley,0,0
Lincoln Heights,0.7147922907361748,4
Llano,0,0
Lomita,0.304890991801904,1
Los Feliz,0.29353850207443505,1
Lynwood,0.7911343149455407,4
Malibu,0.2680074818717428,1
Manhattan Beach,0.2829093679511478,1
Mar Vista,0.22689757701877653,1
Marina del Rey,0,0
Marina Peninsula,0.22516355147129133,1
Maywood,0.774785654865613,4
