community,risk_score,risk_level
Acton,0.349419063,1
Agoura Hills,0.229921904,1
Agua Dulce,0,0
Alhambra,0.435989988,2
Altadena,0.424393496,2
Arcadia,0.302260573,1
Artesia,0.488304496,2
Atwater Village,0.412695411,2
Azusa,0.710691152,4
Baldwin Hills,0.582774162,3
Baldwin Park,0.766943606,4
Bassett,0.7377704,4
Bel Air Estates,0,0
Bell,0.769132376,4
Beverly Hills,0.409212344,2
Boyle Heights,0.818195739,4
Bradbury,0.532698108,3
Brentwood,0.255658633,1
Burbank,0.390536736,2
Canoga Park,0.617473823,3
Carson,0.567603977,3
Castaic,0.88804044,4
Central,0.686638793,4
Century City,0.220367612,1
Cerritos,0.34376337,1
Chatsworth,0.525058532,3
Chinatown,0.328922547,1
Claremont,0.338230867,1
Commerce,0.790410163,4
Compton,0.785920774,4
Covina,0.721100618,4
Cudahy,0.813957439,4
Culver City,0.322938623,1
Del Sur,0,0
Diamond Bar,0.326675071,1
Downey,0.726870315,4
Downtown,0.450526464,2
Downtown Bunker Hill,0,0
Downtown Historic Core,0,0
Duarte,0.60932569,3
Eagle Rock,0.428615881,2
East Hollywood,0.565595378,3
East Los Angeles,0.817491752,4
Echo Park,0.419675477,2
El Monte,0.750865342,4
El Segundo,0.360865812,2
El Sereno,0.709095418,4
Encino,0.288907521,1
Florence-Firestone,0.828388436,4
Gardena,0.574897172,3
Glassell Park,0.540041368,3
Glendale,0.463731197,2
Glendora,0.677381181,3
Granada Hills,0.55369295,3
Hacienda Heights,0.562206522,3
Hancock Park,0.384451187,2
Harbor City,0.550721193,3
Harbor Gateway,0.661715646,3
Hawaiian Gardens,0.728450031,4
Hawthorne,0.64867544,3
Hermosa Beach,0.379027758,2
Hi Vista,0,0
Hidden Hills,0.194920428,1
Highland Park,0.590319617,3
Hollywood,0.447013033,2
Huntington Park,0.763957472,4
Hyde Park,0.65088643,3
Inglewood,0.639221374,3
Jefferson Park,0.726094307,4
Koreatown,0.628493058,3
La Habra Heights,0.476695679,2
La Mirada,0.536256429,3
La Puente,0.71322495,4
La Verne,0.490059568,2
Ladera Heights,0,0
Lake Balboa,0.599575445,3
Lake Hughes,0,0
Lake Los Angeles,0.562241638,3
Lakewood,0.431085373,2
Lancaster,0.608301019,3
Lawndale,0.6058915,3
Lennox,0,0
Leona Valley,0,0
Lincoln Heights,0.717722698,4
Llano,0,0
Lomita,0.352866762,1
Los Feliz,0.309276617,1
Lynwood,0.794159318,4
Malibu,0.289174301,1
Manhattan Beach,0.320389249,1
Mar Vista,0.276578987,1
Marina del Rey,0,0
Marina Peninsula,0.252976746,1
Maywood,0.761130865,4
Melrose,0.53390011,3
Mid-City,0,0
missing,0,0
Mission Hills,0.679616255,4
Monrovia,0.582753703,3
Montebello,0.676118019,3
Monterey Park,0.465138332,2
North Hills,0.737410693,4
North Hollywood,0.605300233,3
Northridge,0.529773726,3
Norwalk,0.732081239,4
Pacific Palisades,0.250179984,1
Pacoima,0.752736905,4
Palmdale,0.662003491,3
Palms,0.414347439,2
Panorama City,0.751268693,4
Paramount,0.788600006,4
Pasadena,0.544596058,3
Pico Rivera,0.755552275,4
Playa Vista,0.368594737,2
Pomona,0.730714849,4
Porter Ranch,0.327217008,1
Rancho Palos Verdes,0.292305575,1
Rancho Park,0.309211674,1
Redondo Beach,0.343685405,1
Reseda,0.617882713,3
Rosemead,0.513077254,2
Rosewood,0,0
Rowland Heights,0.430583747,2
San Dimas,0.453699284,2
San Fernando,0.589878794,3
San Gabriel,0.411731023,2
San Marino,0.247896485,1
San Pedro,0.639207762,3
Santa Catalina Island,0,0
Santa Clarita,0.449761539,2
Santa Fe Springs,0.68204206,4
Santa Monica,0.266125197,1
Shadow Hills,0.47649301,2
Sherman Oaks,0.323775262,1
Sierra Madre,0.301623129,1
Signal Hill,0.614002143,3
South Gate,0.792315199,4
South Los Angeles,0,0
South Park,0.704795155,4
South Pasadena,0.276995087,1
Stevenson Ranch,0.40835946,2
Studio City,0.308012091,1
Sun Valley,0.718887721,4
Sun Village,0,0
Sylmar,0.758873564,4
Tarzana,0.467822933,2
Temple City,0.456543631,2
Toluca Lake,0.336641797,1
Toluca Terrace,0.420922386,2
Torrance,0.337330478,1
Tujunga,0.531728696,3
University Park,0.745798034,4
Valencia,0,0
Valley Glen,0.574426964,3
Valley Village,0.523738069,3
Van Nuys,0.69332157,4
Venice,0.300581419,1
Vernon,0.633324025,3
Walnut,0.342456357,1
Watts,0.869983654,4
West Adams,0.689392496,4
West Hills,0.407416275,2
West Hollywood,0.371514707,2
Westchester,0.258713137,1
Westlake,0.769820804,4
Westlake Village,0.292864748,1
Westwood,0.212727616,1
Whittier,0.654859741,3
Willowbrook,0.826088862,4
Wilmington,0.758631071,4
Wilshire Center,0.518663926,3
Winnetka,0.574335688,3
Woodland Hills,0.331503312,1
